Transaction Identifier,Date of Discovery,"Discovery Method (Staff, Sales Agent, System Alert)",Compliance Reviewer,Transaction Description,Was the transaction completed?,Is the transaction suspicious?,Why was the transaction considered to be suspicious OR considered not to be suspicious?,FINTRAC Report Number,Date that the transaction was deemed to be suspicious,FINTRAC Reporting Date,Follow-up Activity,Customer #,CAD,tx date
8dffd7ad1c,2022-03-08,System Alert,Eissa,Structuring(<10k),yes,no,"This transaction may be part of a structured payment; however is not reportable. This transaction is unusual since it is large, but not reportable since it is below 10k in one calendar day.",,N/A,,,11454.0,9000,2022-02-26
7350332806,2022-03-08,System Alert,Eissa,Structuring(<10k),yes,no,"This transaction may be part of a structured payment; however is not reportable. This transaction is unusual since it is large, but not reportable since it is below 10k in one calendar day.",,N/A,,,18975.0,8000,2022-02-19
ff489f3608,2022-03-08,System Alert,Eissa,Structuring(<10k),yes,no,"This transaction may be part of a structured payment; however is not reportable. This transaction is unusual since it is large, but not reportable since it is below 10k in one calendar day.",,N/A,,,735.0,8500,2022-02-17
fc574d1f5c,2022-03-08,System Alert,Eissa,Structuring(<10k),yes,no,"This transaction may be part of a structured payment; however is not reportable. This transaction is unusual since it is large, but not reportable since it is below 10k in one calendar day.",,N/A,,,15868.0,9000,2022-02-16
d8450958f7,2022-03-08,System Alert,Eissa,Structuring(<10k),yes,no,"This transaction may be part of a structured payment; however is not reportable. This transaction is unusual since it is large, but not reportable since it is below 10k in one calendar day.",,N/A,,,18449.0,9400,2022-02-15
81151df755,2022-03-08,System Alert,Eissa,Structuring(<10k),yes,no,"This transaction may be part of a structured payment; however is not reportable. This transaction is unusual since it is large, but not reportable since it is below 10k in one calendar day.",,N/A,,,18284.0,9000,2022-02-10
a61fe3c55d,2022-03-08,System Alert,Eissa,Structuring(<10k),yes,no,"This transaction may be part of a structured payment; however is not reportable. This transaction is unusual since it is large, but not reportable since it is below 10k in one calendar day.",,N/A,,,18474.0,9700,2022-02-05
7ff23ed70b,2022-03-08,System Alert,Eissa,Structuring(<10k),yes,no,"This transaction may be part of a structured payment; however is not reportable. This transaction is unusual since it is large, but not reportable since it is below 10k in one calendar day.",,N/A,,,18474.0,8300,2022-02-02
3427131505,2022-03-08,System Alert,Eissa,Structuring(<10k),yes,no,"This transaction may be part of a structured payment; however is not reportable. This transaction is unusual since it is large, but not reportable since it is below 10k in one calendar day.",,N/A,,,18244.0,9000,2022-01-31
f0f3658807,2022-03-08,System Alert,Eissa,Structuring(<10k),yes,no,"This transaction may be part of a structured payment; however is not reportable. This transaction is unusual since it is large, but not reportable since it is below 10k in one calendar day.",,N/A,,,10082.0,9000,2022-01-28
d475c0590d,2022-03-08,System Alert,Eissa,Structuring(<10k),yes,no,"This transaction may be part of a structured payment; however is not reportable. This transaction is unusual since it is large, but not reportable since it is below 10k in one calendar day.",,N/A,,,15429.0,8000,2022-01-26
d5f8f840eb,2022-03-08,System Alert,Eissa,Structuring(<10k),yes,no,"This transaction may be part of a structured payment; however is not reportable. This transaction is unusual since it is large, but not reportable since it is below 10k in one calendar day.",,N/A,,,14852.0,9000,2022-01-21
dcf4dde621,2022-03-08,System Alert,Eissa,Structuring(<10k),yes,no,"This transaction may be part of a structured payment; however is not reportable. This transaction is unusual since it is large, but not reportable since it is below 10k in one calendar day.",,N/A,,,1306.0,9800,2022-01-20
6e72e7ba4a,2022-03-08,System Alert,Eissa,Structuring(<10k),yes,no,"This transaction may be part of a structured payment; however is not reportable. This transaction is unusual since it is large, but not reportable since it is below 10k in one calendar day.",,N/A,,,10270.0,8000,2022-01-19
04c0175fee,2022-03-08,System Alert,Eissa,Structuring(<10k),yes,no,"This transaction may be part of a structured payment; however is not reportable. This transaction is unusual since it is large, but not reportable since it is below 10k in one calendar day.",,N/A,,,13919.0,9900,2022-01-18
1f0b096757,2022-03-08,System Alert,Eissa,Structuring(<10k),yes,no,"This transaction may be part of a structured payment; however is not reportable. This transaction is unusual since it is large, but not reportable since it is below 10k in one calendar day.",,N/A,,,12605.0,9000,2022-01-16
e19e169ab2,2022-03-08,System Alert,Eissa,Structuring(<10k),yes,no,"This transaction may be part of a structured payment; however is not reportable. This transaction is unusual since it is large, but not reportable since it is below 10k in one calendar day.",,N/A,,,9652.0,8980,2022-01-12
039ec4e539,2022-03-08,System Alert,Eissa,Structuring(<10k),yes,no,"This transaction may be part of a structured payment; however is not reportable. This transaction is unusual since it is large, but not reportable since it is below 10k in one calendar day.",,N/A,,,16480.0,9900,2022-01-12
92bf9b8718,2022-03-08,System Alert,Eissa,Structuring(<10k),yes,no,"This transaction may be part of a structured payment; however is not reportable. This transaction is unusual since it is large, but not reportable since it is below 10k in one calendar day.",,N/A,,,8752.0,8200,2022-01-07
4db0db29bb,2022-03-08,System Alert,Eissa,Structuring(<10k),yes,no,"This transaction may be part of a structured payment; however is not reportable. This transaction is unusual since it is large, but not reportable since it is below 10k in one calendar day.",,N/A,,,11326.0,8000,2022-01-04
